REF_DATE,Unit labour cost-v1409159
1990-01-01,66.806
1990-04-01,67.848
1990-07-01,68.976
1990-10-01,70.288
1991-01-01,71.671
1991-04-01,71.78
1991-07-01,72.457
1991-10-01,72.542
1992-01-01,72.64
1992-04-01,73.124
1992-07-01,72.714
1992-10-01,72.737
1993-01-01,73.025
1993-04-01,72.181
1993-07-01,71.55
1993-10-01,71.494
1994-01-01,70.653
1994-04-01,70.776
1994-07-01,70.668
1994-10-01,70.723
1995-01-01,70.425
1995-04-01,70.911
1995-07-01,71.899
1995-10-01,71.971
1996-01-01,72.703
1996-04-01,72.709
1996-07-01,73.103
1996-10-01,73.931
1997-01-01,73.951
1997-04-01,74.518
1997-07-01,75.123
1997-10-01,74.776
1998-01-01,74.83
1998-04-01,75.911
1998-07-01,75.919
1998-10-01,76.059
1999-01-01,74.758
1999-04-01,75.328
1999-07-01,75.259
1999-10-01,75.448
2000-01-01,75.698
2000-04-01,76.88
2000-07-01,77.115
2000-10-01,77.944
2001-01-01,77.88
2001-04-01,78.321
2001-07-01,78.744
2001-10-01,78.534
2002-01-01,77.688
2002-04-01,78.18
2002-07-01,78.281
2002-10-01,79.106
2003-01-01,79.266
2003-04-01,79.752
2003-07-01,79.808
2003-10-01,80.46
2004-01-01,81.5
2004-04-01,81.965
2004-07-01,82.061
2004-10-01,82.034
2005-01-01,82.812
2005-04-01,83.598
2005-07-01,84.02
2005-10-01,84.622
2006-01-01,84.972
2006-04-01,86.358
2006-07-01,87.366
2006-10-01,88.451
2007-01-01,89.576
2007-04-01,90.103
2007-07-01,90.856
2007-10-01,91.916
2008-01-01,93.337
2008-04-01,94.157
2008-07-01,93.658
2008-10-01,94.875
2009-01-01,95.434
2009-04-01,95.949
2009-07-01,95.316
2009-10-01,94.772
2010-01-01,94.458
2010-04-01,95.017
2010-07-01,95.579
2010-10-01,95.737
2011-01-01,96.855
2011-04-01,97.434
2011-07-01,96.595
2011-10-01,96.923
2012-01-01,98.265
2012-04-01,99.447
2012-07-01,100.778
2012-10-01,101.503
2013-01-01,101.379
2013-04-01,101.313
2013-07-01,101.323
2013-10-01,101.216
2014-01-01,101.989
2014-04-01,102.056
2014-07-01,102.176
2014-10-01,101.715
2015-01-01,103.942
2015-04-01,105.087
2015-07-01,104.824
2015-10-01,105.035
2016-01-01,103.136
2016-04-01,104.216
2016-07-01,103.075
2016-10-01,103.141
2017-01-01,103.019
2017-04-01,102.696
2017-07-01,104.671
2017-10-01,105.972
2018-01-01,107.049
2018-04-01,106.924
2018-07-01,106.897
2018-10-01,108.319
2019-01-01,109.385
2019-04-01,109.521
2019-07-01,110.627
2019-10-01,111.986
2020-01-01,111.822
2020-04-01,115.836
2020-07-01,113.766
2020-10-01,113.876
2021-01-01,114.097
2021-04-01,117.142