REF_DATE,Average of Regular Gasoline,Average of Diesel,Average of Western Texas Intermediate,Average of Brent Crude,Average of Electricity
1990-01-01,54.36666667,51.23333333,21.78666667,19.81666667,50.2
1990-04-01,56.73333333,51.5,17.77666667,16.02,51.36666667
1990-07-01,58.8,52.56666667,26.42333333,26.41333333,51.8
1990-10-01,64.93333333,59.7,31.88333333,32.45333333,51.56666667
1991-01-01,57.66666667,59.4,21.87,20.73,53.4
1991-04-01,55.7,56.86666667,20.75,18.84666667,54.7
1991-07-01,57.96666667,57.06666667,21.66,19.89,55.3
1991-10-01,56,56.53333333,21.73,20.57666667,55.3
1992-01-01,53.7,54,18.90666667,17.94666667,57.73333333
1992-04-01,55.23333333,52.76666667,21.2,19.99,58.4
1992-07-01,54.83333333,52.73333333,21.66666667,20.08333333,58.76666667
1992-10-01,54.6,53.1,20.48,19.20333333,58.9
1993-01-01,53.13333333,52.3,19.81333333,18.21666667,60.4
1993-04-01,54.46666667,52.2,19.76333333,18.27666667,60.9
1993-07-01,53.56666667,52.23333333,17.8,16.49666667,60.9
1993-10-01,51.33333333,52.1,16.42666667,15.18,60.9
1994-01-01,49.5,51.16666667,14.83,13.97,60.8
1994-04-01,53.3,50.83333333,17.79,16.06,61.23333333
1994-07-01,54.73333333,51.2,18.49666667,16.79666667,61.3
1994-10-01,52.3,51.96666667,17.65,16.53666667,61.4
1995-01-01,52.73333333,50.93333333,18.38333333,16.89,61.1
1995-04-01,57.43333333,50.96666667,19.36333333,18.10333333,61.26666667
1995-07-01,53.76666667,50.83333333,17.86,16.21666667,61.3
1995-10-01,52.5,50.86666667,18.15,16.96666667,61.33333333
1996-01-01,54.53333333,51.06666667,19.76,18.56666667,61.33333333
1996-04-01,58.1,52.6,21.69666667,19.50333333,61.73333333
1996-07-01,56.56666667,52.83333333,22.39,20.90333333,61.8
1996-10-01,57.73333333,55.2,24.60666667,23.56666667,61.8
1997-01-01,57.76666667,55.4,22.76,21.17333333,61.6
1997-04-01,57.9,55.36666667,19.92666667,18.05333333,61.8
1997-07-01,59.03333333,54.66666667,19.80333333,18.50666667,61.9
1997-10-01,55.23333333,54.73333333,19.95,18.74,61.9
1998-01-01,52.83333333,53.8,15.96666667,14.12,61.4
1998-04-01,52.83333333,52.4,14.66,13.36666667,61.1
1998-07-01,51.7,51.86666667,14.22333333,12.44333333,61
1998-10-01,50.53333333,52.1,12.93666667,11.18666667,61.1
1999-01-01,50.7,51.56666667,13.07,11.29666667,61.7
1999-04-01,55.33333333,51.9,17.65,15.46,61.7
1999-07-01,62.16666667,54.76666667,21.72666667,20.61333333,61.7
1999-10-01,63.26666667,58.76666667,24.59666667,24.01666667,61.7
2000-01-01,69.1,66.4,28.82333333,26.92666667,61.7
2000-04-01,71.33333333,65.43333333,28.77666667,26.76666667,61.36666667
2000-07-01,74.06666667,69.43333333,31.61333333,30.67333333,61.5
2000-10-01,73.76666667,75.06666667,31.99,29.72333333,61.6
2001-01-01,68.8,71.7,28.81666667,25.87333333,63.1
2001-04-01,75.36666667,69.36666667,27.90666667,27.27333333,63.66666667
2001-07-01,69.76666667,66.73333333,26.66666667,25.30333333,66.76666667
2001-10-01,58.73333333,62.43333333,20.4,19.35,66.63333333
2002-01-01,62.93333333,59.43333333,21.65666667,21.13333333,66.06666667
2002-04-01,68.43333333,63.2,26.24666667,25.05333333,66.8
2002-07-01,73.46666667,64.86666667,28.34,26.93,78.2
2002-10-01,73.53333333,68.5,28.21666667,26.73666667,72.33333333
2003-01-01,77.7,77.56666667,34.09666667,31.52,80.56666667
2003-04-01,68.96666667,66.9,28.98,26.17,74.33333333
2003-07-01,76.3,65.3,30.21333333,28.45,75.2
2003-10-01,69.76666667,66.23333333,31.19333333,29.39,73.83333333
2004-01-01,78.96666667,70.86666667,35.24666667,31.92333333,74.76666667
2004-04-01,84.7,73.4,38.35333333,35.44666667,75.2
2004-07-01,84.06666667,77.9,43.87333333,41.38666667,76.1
2004-10-01,80.83333333,84.06666667,48.3,44.16333333,76.76666667
2005-01-01,83.93333333,85.23333333,49.72666667,47.69666667,77.46666667
2005-04-01,92.3,89.2,53.05333333,51.62666667,79.86666667
2005-07-01,101.6666667,96.83333333,63.19333333,61.47,87
2005-10-01,90.56666667,100.4333333,59.99666667,56.88,84.03333333
2006-01-01,94,94,63.27,61.75333333,82.03333333
2006-04-01,107.4333333,102.4666667,70.41,69.53333333,80.2
2006-07-01,99.2,99.86666667,70.41666667,69.62,82.06666667
2006-10-01,89.43333333,92.16666667,59.97666667,59.68,81.9
2007-01-01,95.36666667,95.5,58.07666667,57.76333333,80.53333333
2007-04-01,108.2333333,98.23333333,64.97666667,68.58333333,78.43333333
2007-07-01,101.8,98.43333333,75.46666667,74.95333333,82.93333333
2007-10-01,105.0333333,109.6666667,90.75333333,88.56,81.83333333
2008-01-01,107.9666667,117.7333333,97.93666667,96.93666667,80.2
2008-04-01,129.1333333,140.6,123.9533333,121.3966667,81.66666667
2008-07-01,125.1666667,134.1666667,118.05,114.3966667,84.36666667
2008-10-01,84.63333333,105.0333333,58.34666667,54.66,83.56666667
2009-01-01,84.6,87.46666667,42.91333333,44.43333333,83.26666667
2009-04-01,96.9,86,59.44,58.69666667,77.93333333
2009-07-01,98.3,90.33333333,68.20333333,68.2,78.63333333
2009-10-01,99.63333333,95.7,76.06,74.63,79.8
2010-01-01,101.6,97.4,78.64,76.25,81.06666667
2010-04-01,102.3,98.36666667,77.79,78.51,83.73333333
2010-07-01,103.1333333,99.2,76.05333333,76.82,90.4
2010-10-01,108.8666667,109.3,85.09666667,86.46666667,85.26666667
2011-01-01,118.4666667,120.6666667,93.53666667,104.96,86.5
2011-04-01,129.4333333,125.0666667,102.23,117.36,86.46666667
2011-07-01,126.6666667,123.3333333,89.71666667,113.34,91.4
2011-10-01,120.7333333,129.9666667,94.01333333,109.3966667,92.5
2012-01-01,129.7,129.5666667,102.8766667,118.49,92.43333333
2012-04-01,128.3333333,123.6333333,93.42666667,108.4166667,91.2
2012-07-01,128.9333333,123.2666667,92.18,109.6133333,91.73333333
2012-10-01,121.7,123.8666667,87.96,110.0866667,91.9
2013-01-01,127.9666667,131.3,94.33666667,112.4933333,92.76666667
2013-04-01,129.9,124.2666667,94.1,102.5766667,97.16666667
2013-07-01,130.7,126.5,105.8433333,110.27,98.6
2013-10-01,126.3666667,132.8666667,97.34333333,109.21,99.8
2014-01-01,130.0666667,143.1,98.74666667,108.1666667,101.3
2014-04-01,139.2666667,137.1666667,103.3466667,109.7,95.9
2014-07-01,131.3333333,128.9666667,97.78,101.8233333,100.6666667
2014-10-01,110.4333333,124.1666667,73.16,76.40333333,102.1666667
2015-01-01,101.1,113.8,48.54,53.91666667,100.3333333
2015-04-01,116.4666667,112.1666667,57.84666667,61.69333333,101.9333333
2015-07-01,113.1,105.4333333,46.41666667,50.23333333,106.8666667
2015-10-01,103.2666667,102.4,41.95,43.57,103.5
2016-01-01,93.6,91.1,33.18333333,33.69666667,104.3666667
2016-04-01,106.5666667,97.8,45.40666667,45.52333333,107.6
2016-07-01,104.1,98.1,44.85,45.78666667,105.1333333
2016-10-01,108.4666667,105,49.13666667,49.18666667,107.3666667
2017-01-01,108.7333333,109.1333333,51.76666667,53.68,104.9666667
2017-04-01,113.5666667,106.4666667,48.24,49.67,104.9333333
2017-07-01,111.7333333,105.9666667,48.16333333,52.11,111.3666667
2017-10-01,121.4333333,119.1333333,55.36666667,61.53,107.5666667
2018-01-01,127.8,125.8,62.88666667,66.80666667,107.3666667
2018-04-01,137,130.8333333,68.03333333,74.5,113.2333333
2018-07-01,135.1666667,129.1,69.75666667,75.22333333,111.5666667
2018-10-01,114.0333333,127.5333333,59.07666667,67.71333333,113.6666667
2019-01-01,115.8333333,121,54.82666667,63.17,111.0333333
2019-04-01,130.7333333,125.5333333,59.78333333,68.92333333,113.5666667
2019-07-01,122.1,120.0333333,56.37,61.93,116.3333333
2019-10-01,118.8,128,56.95666667,63.41,118.1666667
2020-01-01,103.2666667,115.4,45.75666667,50.44,114.1333333
2020-04-01,94.96666667,93.4,27.80666667,29.34333333,112.7333333
2020-07-01,107.0666667,99.23333333,40.89333333,42.96333333,115.0333333
2020-10-01,105.4333333,104,42.45333333,44.29,115.9333333
2021-01-01,121.2333333,117.7666667,57.79,60.82,113.7666667
2021-04-01,134.6333333,126.9666667,66.09,68.83333333,112.3