REF_DATE,"CalcInflation-Consumer Price Index (CPI), all-items excluding the effect of indirect taxes, seasonally adjusted-v112593707"
1990-01-01,4.455564372
1990-04-01,3.911317533
1990-07-01,3.781590536
1990-10-01,4.652061434
1991-01-01,4.689433586
1991-04-01,3.889780711
1991-07-01,3.396247201
1991-10-01,1.672852274
1992-01-01,0.68608746
1992-04-01,1.047094405
1992-07-01,0.921283592
1992-10-01,1.524317556
1993-01-01,1.923469565
1993-04-01,1.593754401
1993-07-01,1.547573212
1993-10-01,1.69915838
1994-01-01,1.375786164
1994-04-01,1.255087591
1994-07-01,1.524037019
1994-10-01,1.398421546
1995-01-01,2.016229501
1995-04-01,2.595058339
1995-07-01,2.194270071
1995-10-01,1.877937692
1996-01-01,1.330210928
1996-04-01,1.396754654
1996-07-01,1.355975965
1996-10-01,1.955511394
1997-01-01,2.101101612
1997-04-01,1.489260413
1997-07-01,1.597920282
1997-10-01,0.92260964
1998-01-01,0.99195845
1998-04-01,0.843781769
1998-07-01,0.695087077
1998-10-01,0.986923049
1999-01-01,0.83673424
1999-04-01,1.60061021
1999-07-01,2.216191376
1999-10-01,2.388707926
2000-01-01,2.669168915
2000-04-01,2.43442923
2000-07-01,2.594417488
2000-10-01,3.004754743
2001-01-01,2.741701476
2001-04-01,3.425647332
2001-07-01,2.598006179
2001-10-01,0.928124596
2002-01-01,1.333444252
2002-04-01,1.014758797
2002-07-01,1.721743831
2002-10-01,3.266575366
2003-01-01,3.949027624
2003-04-01,2.442300127
2003-07-01,2.090950799
2003-10-01,1.745199859
2004-01-01,0.877519958
2004-04-01,2.122870696
2004-07-01,1.886127359
2004-10-01,2.297935778
2005-01-01,2.091967744
2005-04-01,1.856202147
2005-07-01,2.584346697
2005-10-01,2.246532679
2006-01-01,2.396674725
2006-04-01,2.511964803
2006-07-01,2.181176943
2006-10-01,1.980237854
2007-01-01,2.401793666
2007-04-01,2.725871685
2007-07-01,2.192344845
2007-10-01,2.396884411
2008-01-01,2.316632885
2008-04-01,2.832733924
2008-07-01,3.961903637
2008-10-01,2.490595483
2009-01-01,1.234205326
2009-04-01,0.05940918
2009-07-01,-0.773664523
2009-10-01,0.724261906
2010-01-01,1.538734877
2010-04-01,1.420908707
2010-07-01,1.155103827
2010-10-01,1.550052982
2011-01-01,1.744420593
2011-04-01,2.485812679
2011-07-01,2.826032766
2011-10-01,2.488003166
2012-01-01,2.136600686
2012-04-01,1.394238596
2012-07-01,1.082899897
2012-10-01,0.799924798
2013-01-01,0.935456882
2013-04-01,0.853066117
2013-07-01,1.20858348
2013-10-01,1.039776608
2014-01-01,1.417738732
2014-04-01,2.126500718
2014-07-01,1.89960224
2014-10-01,1.815223905
2015-01-01,0.940365569
2015-04-01,0.854060069
2015-07-01,1.225091236
2015-10-01,1.276787938
2016-01-01,1.544957658
2016-04-01,1.535497213
2016-07-01,1.157632096
2016-10-01,1.339307722
2017-01-01,1.757130074
2017-04-01,1.251797247
2017-07-01,1.300296173
2017-10-01,1.7362096
2018-01-01,1.907274405
2018-04-01,2.188599169
2018-07-01,2.542226605
2018-10-01,1.987749225
2019-01-01,1.668626288
2019-04-01,2.091209962
2019-07-01,1.902860787
2019-10-01,2.047947663
2020-01-01,1.618243012
2020-04-01,0.073964497
2020-07-01,0.270330686
2020-10-01,0.636338571
2021-01-01,1.397194516
2021-04-01,3.157056129